 Timecode, m      
11/05/2023 16:06,5.296.786
11/05/2023 16:06,5.309.099
11/05/2023 16:06,5.339.875
11/05/2023 16:06,5.396.782
11/05/2023 16:06,5.376.791
11/05/2023 16:06,5.299.865
11/05/2023 16:06,5.307.560
11/05/2023 16:06,5.418.305
11/05/2023 16:06,5.379.867
11/05/2023 16:06,5.301.404
11/05/2023 16:06,5.255.217
11/05/2023 16:06,5.276.774
11/05/2023 16:06,5.362.949
11/05/2023 16:06,5.402.932
11/05/2023 16:06,5.433.676
11/05/2023 16:06,5.386.018
11/05/2023 16:06,5.316.794
11/05/2023 16:06,5.330.643
11/05/2023 16:06,5.358.335
11/05/2023 16:06,5.361.411
11/05/2023 16:06,5.373.716
11/05/2023 16:06,5.370.640
11/05/2023 16:06,5.256.757
11/05/2023 16:06,5.210.546
11/05/2023 16:06,5.362.949
11/05/2023 16:06,5.450.581
11/05/2023 16:06,5.310.638
11/05/2023 16:06,5.182.808
11/05/2023 16:06,5.281.392
11/05/2023 16:06,5.399.857
11/05/2023 16:06,5.447.508
11/05/2023 16:06,5.455.191
11/05/2023 16:06,5.449.044
11/05/2023 16:06,5.378.329
11/05/2023 16:06,5.233.655
11/05/2023 16:06,5.241.356
11/05/2023 16:06,5.335.259
11/05/2023 16:06,5.353.720
11/05/2023 16:06,5.353.720
11/05/2023 16:06,5.293.708
11/05/2023 16:06,5.293.708
11/05/2023 16:06,5.272.155
11/05/2023 16:06,5.275.234
11/05/2023 16:06,5.352.182
11/05/2023 16:06,5.373.716
11/05/2023 16:06,5.359.873
11/05/2023 16:06,5.329.104
11/05/2023 16:06,5.313.716
11/05/2023 16:07,5.321.411
11/05/2023 16:07,5.338.336
11/05/2023 16:07,5.419.842
11/05/2023 16:07,5.382.943
11/05/2023 16:07,5.258.297
11/05/2023 16:07,5.350.644
11/05/2023 16:07,5.429.065
11/05/2023 16:07,5.396.782
11/05/2023 16:07,5.384.480
11/05/2023 16:07,5.419.842
11/05/2023 16:07,5.416.768
11/05/2023 16:07,5.399.857
11/05/2023 16:07,5.341.413
11/05/2023 16:07,5.367.564
11/05/2023 16:07,5.432.139
11/05/2023 16:07,5.413.693
11/05/2023 16:07,5.382.943
11/05/2023 16:07,5.302.943
11/05/2023 16:07,5.275.234
11/05/2023 16:07,5.361.411
11/05/2023 16:07,5.464.410
11/05/2023 16:07,5.472.092
11/05/2023 16:07,5.370.640
